name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
house,GarageCars,501.0,0.519,0.0207,0.0,5.0,1.7801,2.0,0.7269,0.1035,1.1301,0.0,1.0,0.0343,0.3983,0.0433,0.3778,0.0456,0.4607,1.075,4.8846,LogisticRegression,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageCars,501.0,0.519,0.0207,0.0,5.0,1.7801,2.0,0.7269,0.1035,1.1301,0.0,1.0,0.0343,0.3983,0.0433,0.3778,0.0456,0.4607,1.075,4.8846,KNN,0.7808506697413912,0.7791099456336967,0.7898431148058853,0.7833316019823066,0.780488521725861,0.7808458128375226,0.7808506697413912,0.7595404519250343,0.7828232032585787
house,GarageCars,501.0,0.519,0.0207,0.0,5.0,1.7801,2.0,0.7269,0.1035,1.1301,0.0,1.0,0.0343,0.3983,0.0433,0.3778,0.0456,0.4607,1.075,4.8846,RandomForest,0.7750713018718276,0.7739964795928674,0.7761313309974409,0.7782664720196732,0.7750713018718276,0.7782664720196732,0.7780775084403072,0.774753811142133,0.7750713018718276
house,GarageCars,501.0,0.519,0.0207,0.0,5.0,1.7801,2.0,0.7269,0.1035,1.1301,0.0,1.0,0.0343,0.3983,0.0433,0.3778,0.0456,0.4607,1.075,4.8846,AdaBoost,0.7622021011000688,0.7618871722204585,0.757881526908445,0.7620438402193548,0.7549754385789162,0.7636869505541217,0.7513797004334761,0.7600406395856473,0.7612072130783797
house,GarageCars,501.0,0.519,0.0207,0.0,5.0,1.7801,2.0,0.7269,0.1035,1.1301,0.0,1.0,0.0343,0.3983,0.0433,0.3778,0.0456,0.4607,1.075,4.8846,SVC,0.7668689511877897,0.7668689511877897,0.7668689511877897,0.7668689511877897,0.7668689511877897,0.7660438652489173,0.7668689511877897,0.765220413338509,0.7668689511877897
house,GarageCars,501.0,0.4331,0.0141,0.0,3.0,1.757,2.0,0.6977,-0.375,0.179,0.0,1.0,0.1132,0.5268,0.0719,0.4633,0.0756,0.5608,1.0437,6.2307,DecisionTree,0.7931655423002505,0.7838266030243995,0.7777008456962652,0.7842172142808186,0.7916775857841952,0.7834775169733864,0.7799475666768052,0.7919474129780667,0.7992181056534389
house,GarageCars,501.0,0.4331,0.0141,0.0,3.0,1.757,2.0,0.6977,-0.375,0.179,0.0,1.0,0.1132,0.5268,0.0719,0.4633,0.0756,0.5608,1.0437,6.2307,LogisticRegression,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageCars,501.0,0.4331,0.0141,0.0,3.0,1.757,2.0,0.6977,-0.375,0.179,0.0,1.0,0.1132,0.5268,0.0719,0.4633,0.0756,0.5608,1.0437,6.2307,KNN,0.7851255408818991,0.7859635801279217,0.7852098708631619,0.7859635801279217,0.7735195984721124,0.7859635801279217,0.7859635801279217,0.772655313250659,0.7851255408818991
house,GarageCars,501.0,0.4331,0.0141,0.0,3.0,1.757,2.0,0.6977,-0.375,0.179,0.0,1.0,0.1132,0.5268,0.0719,0.4633,0.0756,0.5608,1.0437,6.2307,RandomForest,0.7807616543899886,0.7815612044494828,0.7770234427983361,0.793170158489376,0.7881195138314558,0.7894235996504319,0.788304179642391,0.7918131339989632,0.7895292872542778
house,GarageCars,501.0,0.4331,0.0141,0.0,3.0,1.757,2.0,0.6977,-0.375,0.179,0.0,1.0,0.1132,0.5268,0.0719,0.4633,0.0756,0.5608,1.0437,6.2307,AdaBoost,0.7655828225352045,0.7557788757145983,0.7645366810075206,0.7688106013887843,0.7577127514833351,0.7557788757145983,0.7655336930159413,0.7615816448495446,0.7602222465451078
house,GarageCars,501.0,0.4331,0.0141,0.0,3.0,1.757,2.0,0.6977,-0.375,0.179,0.0,1.0,0.1132,0.5268,0.0719,0.4633,0.0756,0.5608,1.0437,6.2307,SVC,0.7668689511877897,0.7668689511877897,0.7668689511877897,0.7668689511877897,0.7668689511877897,0.7660438652489173,0.7668689511877897,0.7647868412998788,0.7668689511877897
house,GarageCars,501.0,0.4271,0.0174,0.0,5.0,1.7944,2.0,0.744,-0.0552,0.8756,0.0,1.0,0.0438,0.4195,0.0531,0.3954,0.0561,0.4876,1.0978,4.639,DecisionTree,0.7769876099160313,0.7814743143735279,0.777447234575084,0.7789893824860703,0.7835117932465547,0.7819652570850011,0.7789681910851813,0.780012325541117,0.7803228468100768
house,GarageCars,501.0,0.4271,0.0174,0.0,5.0,1.7944,2.0,0.744,-0.0552,0.8756,0.0,1.0,0.0438,0.4195,0.0531,0.3954,0.0561,0.4876,1.0978,4.639,LogisticRegression,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageCars,501.0,0.4271,0.0174,0.0,5.0,1.7944,2.0,0.744,-0.0552,0.8756,0.0,1.0,0.0438,0.4195,0.0531,0.3954,0.0561,0.4876,1.0978,4.639,KNN,0.7770067747605877,0.7770067747605877,0.7786874378004074,0.7770067747605877,0.7770067747605877,0.7770067747605877,0.7770067747605877,0.7872099896805987,0.7779670123635132
house,GarageCars,501.0,0.4271,0.0174,0.0,5.0,1.7944,2.0,0.744,-0.0552,0.8756,0.0,1.0,0.0438,0.4195,0.0531,0.3954,0.0561,0.4876,1.0978,4.639,RandomForest,0.7753049124788255,0.7753049124788255,0.7753049124788255,0.7742448833532121,0.7753049124788255,0.7753049124788255,0.7753049124788255,0.7753049124788255,0.7753049124788255
