name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V6,5665.0,0.2037,0.8741,6.9419,0.0004,0.2202,0.3785,35.8803,2.1259,0.3318,0.9051,0.9563,2.0,3.0,AdaBoost,0.0633918308554815,0.0634673747716349,0.0635171058904551,0.0634476633972361
BachChoralHarmony,V6,5665.0,0.2037,0.8741,6.9419,0.0004,0.2202,0.3785,35.8803,2.1259,0.3318,0.9051,0.9563,2.0,3.0,SVC,0.5053099449595748,0.5072874765112916,0.5047617996497522,0.5071578415284479
BachChoralHarmony,V6,5665.0,0.1463,0.8726,6.8506,0.0004,0.2224,0.3814,35.7889,2.1274,0.3334,0.9034,0.9524,2.0,3.0,DecisionTree,0.4443304792375703,0.4475377106315343,0.4426495804268498,0.4419907241247756
BachChoralHarmony,V6,5665.0,0.1463,0.8726,6.8506,0.0004,0.2224,0.3814,35.7889,2.1274,0.3334,0.9034,0.9524,2.0,3.0,LogisticRegression,0.5085469160948745,0.5081379171059657,0.5043765473612687,0.5075020229842292
BachChoralHarmony,V6,5665.0,0.1463,0.8726,6.8506,0.0004,0.2224,0.3814,35.7889,2.1274,0.3334,0.9034,0.9524,2.0,3.0,KNN,0.4657576259730206,0.4663080817263336,0.4645049611574169,0.4638123330250315
BachChoralHarmony,V6,5665.0,0.1463,0.8726,6.8506,0.0004,0.2224,0.3814,35.7889,2.1274,0.3334,0.9034,0.9524,2.0,3.0,RandomForest,0.4809661903753263,0.4840446355776569,0.4789217936012712,0.4821978082701044
BachChoralHarmony,V6,5665.0,0.1463,0.8726,6.8506,0.0004,0.2224,0.3814,35.7889,2.1274,0.3334,0.9034,0.9524,2.0,3.0,AdaBoost,0.0653509207815751,0.0560949977957499,0.0421001728390805,0.0560484524959226
BachChoralHarmony,V6,5665.0,0.1463,0.8726,6.8506,0.0004,0.2224,0.3814,35.7889,2.1274,0.3334,0.9034,0.9524,2.0,3.0,SVC,0.5076231612043735,0.5073660753015312,0.5058407866828971,0.5054482844160156
BachChoralHarmony,V6,5665.0,0.1011,0.8761,7.0697,0.0004,0.2172,0.3747,36.005,2.1239,0.3295,0.9074,0.9613,2.0,3.0,DecisionTree,0.4465750966456863,0.444222697294155,0.4427422508580886,0.4460592706140098
BachChoralHarmony,V6,5665.0,0.1011,0.8761,7.0697,0.0004,0.2172,0.3747,36.005,2.1239,0.3295,0.9074,0.9613,2.0,3.0,LogisticRegression,0.5093437686310716,0.5085653837262506,0.5071124230869515,0.5080905495791013
BachChoralHarmony,V6,5665.0,0.1011,0.8761,7.0697,0.0004,0.2172,0.3747,36.005,2.1239,0.3295,0.9074,0.9613,2.0,3.0,KNN,0.4666477147161724,0.4673056684817195,0.4672841777384351,0.4670036699748187
BachChoralHarmony,V6,5665.0,0.1011,0.8761,7.0697,0.0004,0.2172,0.3747,36.005,2.1239,0.3295,0.9074,0.9613,2.0,3.0,RandomForest,0.4810218287725383,0.4816640177368522,0.4822900793860623,0.4813858941069719
BachChoralHarmony,V6,5665.0,0.1011,0.8761,7.0697,0.0004,0.2172,0.3747,36.005,2.1239,0.3295,0.9074,0.9613,2.0,3.0,AdaBoost,0.0632147414182425,0.0632147414182425,0.0632935403239533,0.0631655394307808
BachChoralHarmony,V6,5665.0,0.1011,0.8761,7.0697,0.0004,0.2172,0.3747,36.005,2.1239,0.3295,0.9074,0.9613,2.0,3.0,SVC,0.505926406339688,0.5064197155644342,0.5073749214097928,0.5078530774718646
BachChoralHarmony,V6,5665.0,0.0494,0.8758,7.0493,0.0004,0.2176,0.3753,35.9854,2.1242,0.3298,0.9071,0.9605,2.0,3.0,DecisionTree,0.4485927800874094,0.4469710923384433,0.4469397307724779,0.4442249735075665
BachChoralHarmony,V6,5665.0,0.0494,0.8758,7.0493,0.0004,0.2176,0.3753,35.9854,2.1242,0.3298,0.9071,0.9605,2.0,3.0,LogisticRegression,0.5103084097672851,0.5105471035544846,0.5100355599799464,0.5102935002718405
